Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeStatus,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Allowance,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
50,No,Travel_Rarely,Management,18,1,Technical Degree,Active,1,Male,6,CEO,Married,70000,2,,23,8,1,17,6,5,1,3
50,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Active,464,Female,2,Sales Executive,Married,22780,3,,18,8,1,22,3,12,1,5
52,No,Travel_Rarely,Management,2,2,Technical Degree,Active,5,Male,6,CDO,Married,66000,6,,12,8,0,10,2,3,0,2
52,No,Travel_Rarely,Sales,21,5,Technical Degree,Active,304,Male,3,Research Technician,Married,15460,1,,11,8,1,34,2,34,1,16
52,Yes,Travel_Rarely,Research & Development,3,2,Technical Degree,Active,690,Male,3,Laboratory Technician,Single,22812,9,,19,8,1,10,1,8,7,7
53,No,Travel_Rarely,Management,2,2,Technical Degree,Active,4,Male,6,CMO,Married,67000,6,,12,8,0,10,2,3,0,2
53,No,Travel_Rarely,Research & Development,2,4,Technical Degree,Active,786,,5,Research Technician,Single,24000,4,,20,8,0,35,2,9,8,8
53,No,Travel_Rarely,Research & Development,9,3,Technical Degree,Active,444,Male,1,Research Technician,Divorced,12636,6,,16,8,1,22,3,17,15,2
55,No,Travel_Rarely,Sales,11,3,Technical Degree,Active,698,Male,5,Manufacturing Supervisor,Married,12144,4,,15,8,1,23,3,19,9,11
55,Yes,Travel_Rarely,Research & Development,19,3,Technical Degree,Active,718,Male,1,Human Resources,Single,8852,6,,14,8,3,24,0,19,3,8
55,Yes,Travel_Rarely,Human Resources,16,3,Technical Degree,Active,351,,4,Manufacturing Supervisor,Single,25132,4,,11,8,0,12,3,9,7,3
58,Yes,Travel_Frequently,Sales,9,2,Technical Degree,Active,403,Male,1,Sales Executive,Divorced,11740,9,,11,8,0,3,3,1,0,0
58,Yes,Travel_Rarely,Sales,1,4,Technical Degree,Active,709,Male,2,Sales Executive,Married,21952,7,,13,8,2,31,3,10,5,9
59,No,Travel_Rarely,Research & Development,3,4,Technical Degree,Active,640,Male,1,Research Technician,Single,11140,5,,16,8,3,13,3,6,0,5
30,No,Non-Travel,Sales,10,2,Business Degree,Retired,169,Male,3,Laboratory Technician,Single,37292,0,3000,22,8,1,12,3,11,6,7
32,No,Travel_Frequently,Sales,4,4,Business Degree,Left,301,Male,2,Sales Executive,Married,18332,1,3000,19,8,0,10,3,10,4,7
34,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Active,326,Male,3,Healthcare Representative,Married,18424,5,2950,24,8,2,6,2,3,1,2
52,No,Non-Travel,Research & Development,1,4,Life Sciences,Active,313,Male,5,Sales Executive,Married,12636,0,2950,18,8,2,5,2,4,1,2
27,No,Travel_Rarely,Research & Development,1,3,Medical,Active,413,Male,1,Research Technician,Single,9692,1,2950,14,8,1,1,5,1,0,0
45,No,Travel_Rarely,Research & Development,4,3,Medical,Active,842,Female,5,Laboratory Technician,Divorced,13332,1,2950,22,8,0,10,2,10,7,7
49,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Active,797,Female,2,Sales Executive,Divorced,10000,3,2950,15,8,0,29,5,8,0,7
34,No,Non-Travel,Sales,1,2,Life Sciences,Active,720,Male,5,Research Technician,Divorced,18332,1,2940,17,8,1,5,1,5,0,0
52,No,Travel_Frequently,Research & Development,1,1,Life Sciences,Active,370,Male,2,Laboratory Technician,Married,21564,3,2940,16,8,1,31,2,9,0,0
27,No,Travel_Rarely,Sales,2,4,Medical,Active,353,Male,2,Research Technician,Divorced,10580,1,2940,21,8,1,9,2,9,0,8
45,No,Non-Travel,Research & Development,1,3,Medical,Active,548,Female,5,Human Resources,Married,14400,1,2940,12,8,1,15,2,15,4,12
49,No,Travel_Rarely,Sales,2,3,Technical Degree,Active,118,Male,2,Manufacturing Supervisor,Single,36332,8,2940,14,8,1,26,3,5,0,0
34,No,Travel_Rarely,Sales,28,3,Life Sciences,Active,951,Female,2,Research Technician,Married,19724,1,2930,19,8,1,15,6,15,4,13
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Active,60,Female,2,Research Technician,Married,23316,2,2930,18,8,1,11,2,8,7,7
27,No,Travel_Rarely,Research & Development,13,2,Medical,Active,63,Female,4,Research Supervisor,Single,18332,1,2930,12,8,2,5,5,5,0,4
45,No,Travel_Rarely,Research & Development,17,2,Medical,Active,11,Male,5,Laboratory Technician,Married,5196,0,2930,13,8,2,21,2,20,4,10
49,No,Travel_Rarely,Sales,9,3,Technical Degree,Active,382,Female,2,Sales Representative,Married,25108,2,2930,18,8,1,7,5,4,0,2
34,No,Travel_Rarely,Sales,6,2,Life Sciences,Active,224,Male,4,Research Supervisor,Married,10664,1,2920,12,8,1,6,4,6,1,3
52,No,Travel_Rarely,Sales,1,3,Life Sciences,Active,549,Male,1,Sales Executive,Single,14864,7,2920,18,8,1,18,6,8,4,0
27,No,Travel_Rarely,Research & Development,11,2,Medical,Active,82,Male,1,Research Technician,Married,14188,1,2920,18,8,1,8,2,8,0,7
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,Active,29,Male,2,Research Technician,Divorced,8000,3,2920,14,8,1,19,2,1,0,0
48,No,Travel_Rarely,Research & Development,16,3,Technical Degree,Active,263,Male,1,Sales Executive,Married,12296,3,2920,13,8,0,12,2,2,2,2
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,Active,121,Male,1,Sales Representative,Single,12412,8,2910,25,8,1,9,3,5,0,4
52,No,Travel_Frequently,Research & Development,2,1,Life Sciences,Active,737,Male,5,Sales Executive,Married,9580,2,2910,14,8,0,24,2,5,0,2
27,No,Travel_Rarely,Research & Development,6,2,Medical,Active,576,Female,1,Healthcare Representative,Married,8520,1,2910,11,8,2,4,2,4,2,2
44,No,Travel_Frequently,Research & Development,5,2,Medical,Active,805,Female,2,Research Technician,Single,10000,5,2910,22,8,1,16,1,2,2,2
48,No,Travel_Rarely,Research & Development,24,3,Technical Degree,Active,781,Male,2,Research Technician,Divorced,19268,4,2910,12,8,0,15,3,2,2,2
34,No,Travel_Frequently,Research & Development,25,1,Life Sciences,Active,874,Female,1,Research Technician,Married,30668,1,2900,14,8,0,8,2,8,7,7
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Active,119,Male,1,Sales Executive,Married,12068,4,2900,22,8,1,18,2,7,0,7
27,No,Travel_Frequently,Research & Development,26,4,Medical,Active,717,Female,1,Research Supervisor,Single,90876,3,2900,17,8,0,8,3,6,0,0
44,No,Travel_Rarely,Sales,24,5,Medical,Active,360,Female,1,Sales Executive,Single,14908,9,2900,11,8,1,10,3,5,2,3
47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Active,171,Male,4,Manufacturing Supervisor,Divorced,28400,5,2900,16,8,2,20,2,5,0,4
34,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Active,506,Male,1,Sales Representative,Married,7280,1,2890,13,8,1,1,5,1,0,0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Active,42,Male,2,Laboratory Technician,Divorced,13672,5,2890,13,8,0,13,2,4,1,2
27,No,Travel_Rarely,Research & Development,10,3,Medical,Active,273,Male,3,Research Technician,Married,31732,1,2890,23,8,1,9,3,9,0,7
44,No,Travel_Rarely,Research & Development,3,4,Medical,Active,618,Male,2,Research Technician,Single,20000,1,2890,12,8,3,20,3,20,13,17
46,No,Travel_Rarely,Research & Development,12,4,Technical Degree,,878,Male,1,Laboratory Technician,Single,15708,1,2890,11,8,0,27,2,26,0,12
34,No,Travel_Rarely,Research & Development,5,3,Life Sciences,,722,Male,1,Manager,Married,33336,4,2880,18,8,1,10,2,8,7,7
51,No,Travel_Frequently,Research & Development,14,3,Life Sciences,,661,Male,2,Research Supervisor,Divorced,13852,4,2880,14,8,0,31,3,29,11,10
27,No,Travel_Rarely,Human Resources,11,4,Medical,,760,Male,4,Sales Executive,Married,21668,0,2880,16,8,0,6,3,5,1,4
44,No,Travel_Rarely,Research & Development,22,3,Medical,,374,Female,1,Laboratory Technician,Married,8240,2,2880,11,8,1,10,2,3,0,2
46,No,Travel_Rarely,Research & Development,1,4,Technical Degree,,978,Female,3,Sales Executive,Divorced,28568,4,2880,20,8,0,13,1,10,0,3
