Location,Estate,Latitude,Longitude,Price,Saleable,Area,Floor_level,Transaction_price,Square_feet,Discount_rate,Assignment_date,Credit_level,Credit_value
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,281600,26,277,M,10831,1017,86,1/1/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,513100,35,376,M,14660,1365,82,2/1/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,391500,26,277,L,15058,1413,82,3/1/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,702600,35,381,M,20074,1844,86,4/1/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,432300,35,381,H,12351,1135,86,5/1/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,525300,46,490,L,11420,1072,86,6/1/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,722800,41,443,M,17629,1632,82,7/1/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,320800,14,150,H,22914,2139,82,9/1/2021,0,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,435100,26,277,L,16735,1571,82,10/1/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,572000,35,381,H,16343,1501,82,11/1/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,436300,33,358,L,13221,1219,82,13/1/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG FAT ESTATE,22.36314,114.10348,587500,33,355,L,17803,1655,82,15/1/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,298200,27,294,L,11044,1014,86,16/1/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,414800,39,423,L,10636,981,86,17/1/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,563800,35,381,M,16109,1480,86,18/1/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,690800,35,381,M,19737,1813,17,21/1/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (2),CHEUNG ON ESTATE,22.35992,114.10435,873800,45,489,M,19418,1787,19,23/1/2021,0,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,274200,15,164,M,18280,1672,83,24/1/2021,0,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,871100,46,490,M,18937,1778,86,25/1/2021,0,0
TAI PO  NORTH & SHATIN (2),WAH MING ESTATE,22.48455,114.14015,773500,53,566,M,14594,1367,19,26/1/2021,0,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,704000,35,376,H,20114,1872,82,27/1/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,457900,33,355,L,13876,1290,86,28/1/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,183500,15,164,L,12233,1119,83,29/1/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,721600,36,385,L,20044,1874,19,30/1/2021,0,0
TAI PO  NORTH & SHATIN (2),TAI WO ESTATE,22.45201,114.16259,773600,45,489,L,17191,1582,20,31/1/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),TUNG TAU (II) ESTATE,22.33306,114.19336,850900,41,443,L,20754,1921,20,1/2/2021,0,0
TAI PO  NORTH & SHATIN (2),WAN TAU TONG ESTATE,22.44275,114.16876,680100,41,445,L,16588,1528,82,3/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,797800,37,397,M,21562,2010,19,6/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,739200,35,376,M,21120,1966,19,7/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,701000,33,357,M,21242,1964,19,8/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,887900,45,489,M,19731,1816,82,9/2/2021,0,0
TAI PO  NORTH & SHATIN (3),YIU ON ESTATE,22.41887,114.23029,668300,38,407,M,17587,1642,82,10/2/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,448900,33,355,M,13603,1265,82,11/2/2021,0,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,476500,32,349,M,14891,1365,86,12/2/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,711000,35,376,H,20314,1891,82,13/2/2021,0,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,395900,26,277,L,15227,1429,82,14/2/2021,0,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,304100,27,287,L,11263,1060,86,15/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,686400,35,381,M,19611,1802,82,16/2/2021,0,0
TAI PO  NORTH & SHATIN (3),FU SHIN ESTATE,22.453,114.17556,571300,35,381,L,16323,1499,82,17/2/2021,0,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,882500,45,485,L,19611,1820,19,18/2/2021,0,0
TAI PO  NORTH & SHATIN (3),HENG ON ESTATE,22.41583,114.22905,633800,35,381,H,18109,1664,18,19/2/2021,0,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,635400,35,381,L,18154,1668,82,20/2/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,604700,36,385,M,16797,1571,81,23/2/2021,0,0
TAI PO  NORTH & SHATIN (3),FU HENG ESTATE,22.45645,114.17074,532600,32,349,M,16644,1526,81,24/2/2021,0,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,728900,37,397,L,19700,1836,19,25/2/2021,0,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,902000,40,428,L,22550,2107,82,26/2/2021,0,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,375200,33,355,L,11370,1057,18,27/2/2021,0,0
WONG TAI SIN  TSING YI & TSUEN WAN (1),FUNG TAK ESTATE,22.34489,114.20121,641100,34,366,L,18856,1752,18,28/2/2021,0,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,423400,34,366,L,12453,1157,20,1/3/2021,0,0
